강남역,판교/정자역,남자,여자,장년,중년,청년,노트북,생각중,잠자는중,책읽기,토크,핸드폰보기,이어폰:O,이어폰:X,우측:사이드,좌측:사이드,중앙
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
